lag,info_leak,MI1,MI2,U1,U2,R12,S12
1,0.39605549691423275,0.5893133245460586,0.006757000714214698,0.0,0,0,0.0
2,0.42179957939044227,0.6159066366081904,0.013138917003192493,0.0,0,0,0.0
3,0.46033553090585383,0.6365890662130824,0.009472269157412592,0.0,0,0,0.0
4,0.47505992238495565,0.6740747515369313,0.01000872884818992,0.0,0,0,0.0
5,0.4880036917827583,0.7099861139983001,0.0089140876269774,0.0,0,0,0.0
6,0.498407624131411,0.7405514825818842,0.008733933135033647,0.001360319015537436,0,0,0.002521372539378281
7,0.49135404528666143,0.7927922648534566,0.009731060095819444,0.012572088812197927,0,0,0.007481032164066018
8,0.4951705974668623,0.8430597220047766,0.0053505954712159,0.07263226472248177,0,0,0.026153157743028066
9,0.48652289022002615,0.894693536933589,0.00959349854776111,0.1737980512147132,0,0,0.03347553259604082
10,0.48115999059122505,0.9583524613392215,0.008695885436689912,0.26994345093191585,0,0,0.025460291705142805
11,0.4709568158240053,1.0245194561354705,0.005736866776898927,0.3682761346507155,0,0,0.01710736623177426
12,0.442557368108586,1.1191088764845176,0.005912000057204676,0.49981049818833245,0,0,0.016061354731340773
13,0.40689598537483296,1.2274244004268773,0.008147057734555636,0.6253101281160507,0,0,0.02049612999906862
14,0.36365433983147244,1.34946770606255,0.008056385167046714,0.7737423254825571,0,0,0.023506861718857817
15,0.2808741615005635,1.577528492393726,0.005449194664561618,1.0263354859561167,0,0,0.021551083938785624
16,0.37100882942361635,1.3656991968256516,0.008669215524567946,0.8420552417648366,0,0,0.013385308973501047
17,0.4176955262547701,1.2547244598508742,0.006960666713139108,0.7581716100118325,0,0,0.012729118835282313
18,0.4662470136425304,1.1270678319796124,0.007048495334620669,0.6498101806485458,0,0,0.016645518491111476
19,0.5091686878935621,1.0110333044112858,0.00719016483834114,0.5494432950242754,0,0,0.01742784719483101
20,0.5352542975950693,0.9463757188529658,0.005647994456993025,0.5006531229313804,0,0,0.02293150044327809
21,0.5540017452202517,0.8911454273077375,0.007923765378691872,0.46608260125182366,0,0,0.025420154281727392
22,0.5707897746679992,0.8399865956022565,0.0046562305112345095,0.42813076905833,0,0,0.027338646628512164
23,0.5934317595804607,0.782532928338246,0.005618174360399384,0.38095315420313247,0,0,0.02769756233444856
24,0.6014470321196409,0.7515561598910211,0.009209976646181513,0.36954220512228014,0,0,0.030205333516076932
25,0.6166681245360197,0.7151935833583678,0.008038673688930915,0.34033425199889256,0,0,0.029125161000623276
26,0.6314398479297744,0.684078402312856,0.008251602122159335,0.3114393860522551,0,0,0.027796351112030503
27,0.6424139139370674,0.6476331360538742,0.0055507314587233195,0.287410788203435,0,0,0.02827604423550049
28,0.6450500862777689,0.6229660853919387,0.006514104186807349,0.2633183768042317,0,0,0.039377036411226
29,0.6548576711068619,0.5990561267151219,0.006956353798464529,0.2600336769951122,0,0,0.030496629792254756
30,0.668586012638216,0.5685318602805789,0.009285111054130818,0.23368868189952424,0,0,0.03838453559411748
31,0.6785229263171694,0.5401136361946699,0.006142385844501741,0.212245660722493,0,0,0.03170556804147424
32,0.6834288404498241,0.5171882377065903,0.0072137019807158274,0.199300275846034,0,0,0.03172475978160368
33,0.6891813038650795,0.4916100319431248,0.008180327208939029,0.18692375047343157,0,0,0.0399631833437883
34,0.7007083636475628,0.4761799380121537,0.007059035508076689,0.17701423223231263,0,0,0.028589191873620075
35,0.7044421155628809,0.46449534399952835,0.008548111293460258,0.16850490591807007,0,0,0.030400173866709564
36,0.7161686131143495,0.44570425678902026,0.008351241530501641,0.15708489508661616,0,0,0.03835155789730246
37,0.7164729994287959,0.4313707331286404,0.014628404667491445,0.14326471397954246,0,0,0.03777721306275219
38,0.7239533099857463,0.415901228906988,0.01118383932949123,0.13580199124345255,0,0,0.04386968731929526
39,0.7359350411200348,0.3983904574408814,0.013951788636613765,0.1278487015714055,0,0,0.04557233731315673
40,0.7349109901614085,0.39059663850334686,0.01285552858574252,0.1293581569469936,0,0,0.032759423475979835
